ticket_id,customer_message,expected_category,ai_category,ai_summary,ai_reply
1,My internet bill is way higher this month and I don’t understand why,Billing,Billing,This is a mock summary of the ticket.,"Hello, this is a sample reply. Once API credits are enabled, this will be replaced with real AI-generated responses."
2,The app crashes every time I try to log in,Technical Issue,Billing,This is a mock summary of the ticket.,"Hello, this is a sample reply. Once API credits are enabled, this will be replaced with real AI-generated responses."
3,I need to update my email address on file,Account,Billing,This is a mock summary of the ticket.,"Hello, this is a sample reply. Once API credits are enabled, this will be replaced with real AI-generated responses."
4,Why was my credit card charged twice?,Billing,Billing,This is a mock summary of the ticket.,"Hello, this is a sample reply. Once API credits are enabled, this will be replaced with real AI-generated responses."
5,I can’t reset my password through the portal,Technical Issue,Billing,This is a mock summary of the ticket.,"Hello, this is a sample reply. Once API credits are enabled, this will be replaced with real AI-generated responses."
6,I moved to a new address and need to update my account details,Account,Billing,This is a mock summary of the ticket.,"Hello, this is a sample reply. Once API credits are enabled, this will be replaced with real AI-generated responses."
7,My bill shows a late fee but I paid on time,Billing,Billing,This is a mock summary of the ticket.,"Hello, this is a sample reply. Once API credits are enabled, this will be replaced with real AI-generated responses."
8,The mobile app is not loading on my Android phone,Technical Issue,Billing,This is a mock summary of the ticket.,"Hello, this is a sample reply. Once API credits are enabled, this will be replaced with real AI-generated responses."
9,Can you change the phone number associated with my account?,Account,Billing,This is a mock summary of the ticket.,"Hello, this is a sample reply. Once API credits are enabled, this will be replaced with real AI-generated responses."
10,There’s an unexpected international call charge on my bill,Billing,Billing,This is a mock summary of the ticket.,"Hello, this is a sample reply. Once API credits are enabled, this will be replaced with real AI-generated responses."
11,The website gives me an error when I try to check out,Technical Issue,Billing,This is a mock summary of the ticket.,"Hello, this is a sample reply. Once API credits are enabled, this will be replaced with real AI-generated responses."
12,I forgot the email address tied to my account,Account,Billing,This is a mock summary of the ticket.,"Hello, this is a sample reply. Once API credits are enabled, this will be replaced with real AI-generated responses."
13,My autopay didn’t go through and I was charged a penalty,Billing,Billing,This is a mock summary of the ticket.,"Hello, this is a sample reply. Once API credits are enabled, this will be replaced with real AI-generated responses."
14,The desktop app freezes whenever I upload a file,Technical Issue,Billing,This is a mock summary of the ticket.,"Hello, this is a sample reply. Once API credits are enabled, this will be replaced with real AI-generated responses."
15,I want to add a secondary user to my account,Account,Billing,This is a mock summary of the ticket.,"Hello, this is a sample reply. Once API credits are enabled, this will be replaced with real AI-generated responses."
16,Why did my bill increase after switching plans?,Billing,Billing,This is a mock summary of the ticket.,"Hello, this is a sample reply. Once API credits are enabled, this will be replaced with real AI-generated responses."
17,The live chat feature won’t load on the website,Technical Issue,Billing,This is a mock summary of the ticket.,"Hello, this is a sample reply. Once API credits are enabled, this will be replaced with real AI-generated responses."
18,I need to close my account permanently,Account,Billing,This is a mock summary of the ticket.,"Hello, this is a sample reply. Once API credits are enabled, this will be replaced with real AI-generated responses."
19,I was promised a discount but it’s not on my bill,Billing,Billing,This is a mock summary of the ticket.,"Hello, this is a sample reply. Once API credits are enabled, this will be replaced with real AI-generated responses."
20,The app logs me out every 10 minutes automatically,Technical Issue,Billing,This is a mock summary of the ticket.,"Hello, this is a sample reply. Once API credits are enabled, this will be replaced with real AI-generated responses."
